Domains(Old),Domains(New)
142.217.58.216.in-addr.arpa,iad23s43-in-f14.1e100.net.
142.217.58.216.in-addr.arpa,iad23s43-in-f142.1e100.net.
36.65.13.31.in-addr.arpa,edge-star-mini-shv-01-atl3.facebook.com.
24.183.139.98.in-addr.arpa,ir2.fp.vip.bf1.yahoo.com.
45.36.190.206.in-addr.arpa,ir1.fp.vip.gq1.yahoo.com.
109.253.138.98.in-addr.arpa,ir1.fp.vip.ne1.yahoo.com.
224.154.80.208.in-addr.arpa,text-lb.eqiad.wikimedia.org.
113.240.39.125.in-addr.arpa,no-data.
3.1.217.172.in-addr.arpa,iad23s25-in-f3.1e100.net.
154.206.55.65.in-addr.arpa,windowslivecontent.com.
154.206.55.65.in-addr.arpa,windowsliverelease.com.
154.206.55.65.in-addr.arpa,windowsliveplatform.com.
154.206.55.65.in-addr.arpa,windowslivesecurity.com.
154.206.55.65.in-addr.arpa,windowslivedevelopment.com.
154.206.55.65.in-addr.arpa,www.home.live.com.
154.206.55.65.in-addr.arpa,drivelive.com.
154.206.55.65.in-addr.arpa,msnspaces.co.uk.
154.206.55.65.in-addr.arpa,mapcruncher.com.
154.206.55.65.in-addr.arpa,mapcruncher.net.
154.206.55.65.in-addr.arpa,mapcruncher.org.
154.206.55.65.in-addr.arpa,msnskydrive.com.
154.206.55.65.in-addr.arpa,buymicrosoft.us.
154.206.55.65.in-addr.arpa,buymicrosoft.biz.
154.206.55.65.in-addr.arpa,buymicrosoft.org.
154.206.55.65.in-addr.arpa,buymicrosoft.info.
154.206.55.65.in-addr.arpa,securehotmail.us.
154.206.55.65.in-addr.arpa,securehotmail.biz.
154.206.55.65.in-addr.arpa,securehotmail.com.
154.206.55.65.in-addr.arpa,securehotmail.net.
154.206.55.65.in-addr.arpa,securehotmail.org.
154.206.55.65.in-addr.arpa,securehotmail.info.
154.206.55.65.in-addr.arpa,windowslivedev.com.
154.206.55.65.in-addr.arpa,windowsliveweb.com.
154.206.55.65.in-addr.arpa,central-hotmail.us.
154.206.55.65.in-addr.arpa,central-hotmail.biz.
154.206.55.65.in-addr.arpa,central-hotmail.com.
154.206.55.65.in-addr.arpa,central-hotmail.net.
154.206.55.65.in-addr.arpa,central-hotmail.org.
154.206.55.65.in-addr.arpa,central-hotmail.info.
154.206.55.65.in-addr.arpa,windowslivegame.com.
154.206.55.65.in-addr.arpa,windowslivesite.com.
154.206.55.65.in-addr.arpa,inkblotpasswords.com.
154.206.55.65.in-addr.arpa,windowslivedrive.com.
154.206.55.65.in-addr.arpa,windowslivedrive.net.
154.206.55.65.in-addr.arpa,windowslivedrive.org.
154.206.55.65.in-addr.arpa,windowslivedrive.mobi.
154.206.55.65.in-addr.arpa,windowslivemedia.com.
154.206.55.65.in-addr.arpa,windowslivespace.com.
154.206.55.65.in-addr.arpa,windowslivestuff.com.
154.206.55.65.in-addr.arpa,windowslivetools.com.
154.206.55.65.in-addr.arpa,windowslivevoice.com.
154.206.55.65.in-addr.arpa,messengerskydrive.com.
154.206.55.65.in-addr.arpa,windowslivedevice.com.
154.206.55.65.in-addr.arpa,windowslivemobile.com.
154.206.55.65.in-addr.arpa,windowsliveoffice.com.
154.206.55.65.in-addr.arpa,microsoft-skydrive.com.
154.206.55.65.in-addr.arpa,windowslivecalling.com.
227.218.58.216.in-addr.arpa,iad23s40-in-f227.1e100.net.
227.218.58.216.in-addr.arpa,iad23s40-in-f3.1e100.net.
200.197.79.204.in-addr.arpa,a-0001.a-msedge.net.
255.120.4.52.in-addr.arpa,ec2-52-4-120-255.compute-1.amazonaws.com.
